##SIR model beta=0.2000 gamma=0.1000  produced by macroInfection[.cpp]
#time[days]	S	I	R
325.0000	0.20285	0.00000	0.79715
326.0000	0.20285	0.00000	0.79715
327.0000	0.20285	0.00000	0.79715
328.0000	0.20285	0.00000	0.79715
329.0000	0.20285	0.00000	0.79715
330.0000	0.20285	0.00000	0.79715
331.0000	0.20285	0.00000	0.79715
332.0000	0.20285	0.00000	0.79715
333.0000	0.20285	0.00000	0.79715
334.0000	0.20285	0.00000	0.79715
335.0000	0.20285	0.00000	0.79715
336.0000	0.20285	0.00000	0.79715
337.0000	0.20285	0.00000	0.79715
338.0000	0.20285	0.00000	0.79715
339.0000	0.20285	0.00000	0.79715
340.0000	0.20285	0.00000	0.79715
341.0000	0.20285	0.00000	0.79715
342.0000	0.20285	0.00000	0.79715
343.0000	0.20285	0.00000	0.79715
344.0000	0.20285	0.00000	0.79715
345.0000	0.20285	0.00000	0.79715
346.0000	0.20285	0.00000	0.79715
347.0000	0.20285	0.00000	0.79715
348.0000	0.20285	0.00000	0.79715
349.0000	0.20285	0.00000	0.79715
350.0000	0.20285	0.00000	0.79715
351.0000	0.20285	0.00000	0.79715
352.0000	0.20285	0.00000	0.79715
353.0000	0.20285	0.00000	0.79715
354.0000	0.20285	0.00000	0.79715
355.0000	0.20285	0.00000	0.79715
356.0000	0.20285	0.00000	0.79715
357.0000	0.20285	0.00000	0.79715
358.0000	0.20285	0.00000	0.79715
359.0000	0.20285	0.00000	0.79715
360.0000	0.20285	0.00000	0.79715
361.0000	0.20285	0.00000	0.79715
362.0000	0.20285	0.00000	0.79715
363.0000	0.20285	0.00000	0.79715
364.0000	0.20285	0.00000	0.79715
365.0000	0.20285	0.00000	0.79715
366.0000	0.20285	0.00000	0.79715
367.0000	0.20285	0.00000	0.79715
368.0000	0.20285	0.00000	0.79715
369.0000	0.20285	0.00000	0.79715
370.0000	0.20285	0.00000	0.79715
371.0000	0.20285	0.00000	0.79715
372.0000	0.20285	0.00000	0.79715
373.0000	0.20285	0.00000	0.79715
374.0000	0.20285	0.00000	0.79715
375.0000	0.20285	0.00000	0.79715
376.0000	0.20285	0.00000	0.79715
377.0000	0.20285	0.00000	0.79715
378.0000	0.20285	0.00000	0.79715
379.0000	0.20285	0.00000	0.79715
380.0000	0.20285	0.00000	0.79715
381.0000	0.20285	0.00000	0.79715
382.0000	0.20285	0.00000	0.79715
383.0000	0.20285	0.00000	0.79715
384.0000	0.20285	0.00000	0.79715
385.0000	0.20285	0.00000	0.79715
386.0000	0.20285	0.00000	0.79715
387.0000	0.20285	0.00000	0.79715
388.0000	0.20285	0.00000	0.79715
389.0000	0.20285	0.00000	0.79715
390.0000	0.20285	0.00000	0.79715
391.0000	0.20285	0.00000	0.79715
392.0000	0.20285	0.00000	0.79715
393.0000	0.20285	0.00000	0.79715
394.0000	0.20285	0.00000	0.79715
395.0000	0.20285	0.00000	0.79715
396.0000	0.20285	0.00000	0.79715
397.0000	0.20285	0.00000	0.79715
398.0000	0.20285	0.00000	0.79715
399.0000	0.20285	0.00000	0.79715
400.0000	0.20285	0.00000	0.79715
401.0000	0.20285	0.00000	0.79715
402.0000	0.20285	0.00000	0.79715
403.0000	0.20285	0.00000	0.79715
404.0000	0.20285	0.00000	0.79715
405.0000	0.20285	0.00000	0.79715
406.0000	0.20285	0.00000	0.79715
407.0000	0.20285	0.00000	0.79715
408.0000	0.20285	0.00000	0.79715
409.0000	0.20285	0.00000	0.79715
410.0000	0.20285	0.00000	0.79715
411.0000	0.20285	0.00000	0.79715
412.0000	0.20285	0.00000	0.79715
413.0000	0.20285	0.00000	0.79715
414.0000	0.20285	0.00000	0.79715
415.0000	0.20285	0.00000	0.79715
416.0000	0.20285	0.00000	0.79715
417.0000	0.20285	0.00000	0.79715
418.0000	0.20285	0.00000	0.79715
419.0000	0.20285	0.00000	0.79715
420.0000	0.20285	0.00000	0.79715
421.0000	0.20285	0.00000	0.79715
422.0000	0.20285	0.00000	0.79715
423.0000	0.20285	0.00000	0.79715
424.0000	0.20285	0.00000	0.79715
425.0000	0.20285	0.00000	0.79715
426.0000	0.20285	0.00000	0.79715
427.0000	0.20285	0.00000	0.79715
428.0000	0.20285	0.00000	0.79715
429.0000	0.20285	0.00000	0.79715
430.0000	0.20285	0.00000	0.79715
431.0000	0.20285	0.00000	0.79715
432.0000	0.20285	0.00000	0.79715
433.0000	0.20285	0.00000	0.79715
434.0000	0.20285	0.00000	0.79715
435.0000	0.20285	0.00000	0.79715
436.0000	0.20285	0.00000	0.79715
437.0000	0.20285	0.00000	0.79715
438.0000	0.20285	0.00000	0.79715
439.0000	0.20285	0.00000	0.79715
440.0000	0.20285	0.00000	0.79715
441.0000	0.20285	0.00000	0.79715
442.0000	0.20285	0.00000	0.79715
443.0000	0.20285	0.00000	0.79715
444.0000	0.20285	0.00000	0.79715
445.0000	0.20285	0.00000	0.79715
446.0000	0.20285	0.00000	0.79715
447.0000	0.20285	0.00000	0.79715
448.0000	0.20285	0.00000	0.79715
449.0000	0.20285	0.00000	0.79715
450.0000	0.20285	0.00000	0.79715
451.0000	0.20285	0.00000	0.79715
452.0000	0.20285	0.00000	0.79715
453.0000	0.20285	0.00000	0.79715
454.0000	0.20285	0.00000	0.79715
455.0000	0.20285	0.00000	0.79715
456.0000	0.20285	0.00000	0.79715
457.0000	0.20285	0.00000	0.79715
458.0000	0.20285	0.00000	0.79715
459.0000	0.20285	0.00000	0.79715
460.0000	0.20285	0.00000	0.79715
461.0000	0.20285	0.00000	0.79715
462.0000	0.20285	0.00000	0.79715
463.0000	0.20285	0.00000	0.79715
464.0000	0.20285	0.00000	0.79715
465.0000	0.20285	0.00000	0.79715
466.0000	0.20285	0.00000	0.79715
467.0000	0.20285	0.00000	0.79715
468.0000	0.20285	0.00000	0.79715
469.0000	0.20285	0.00000	0.79715
470.0000	0.20285	0.00000	0.79715
471.0000	0.20285	0.00000	0.79715
472.0000	0.20285	0.00000	0.79715
473.0000	0.20285	0.00000	0.79715
474.0000	0.20285	0.00000	0.79715
475.0000	0.20285	0.00000	0.79715
476.0000	0.20285	0.00000	0.79715
477.0000	0.20285	0.00000	0.79715
478.0000	0.20285	0.00000	0.79715
479.0000	0.20285	0.00000	0.79715
480.0000	0.20285	0.00000	0.79715
481.0000	0.20285	0.00000	0.79715
482.0000	0.20285	0.00000	0.79715
483.0000	0.20285	0.00000	0.79715
484.0000	0.20285	0.00000	0.79715
485.0000	0.20285	0.00000	0.79715
486.0000	0.20285	0.00000	0.79715
487.0000	0.20285	0.00000	0.79715
488.0000	0.20285	0.00000	0.79715
489.0000	0.20285	0.00000	0.79715
490.0000	0.20285	0.00000	0.79715
491.0000	0.20285	0.00000	0.79715
492.0000	0.20285	0.00000	0.79715
493.0000	0.20285	0.00000	0.79715
494.0000	0.20285	0.00000	0.79715
495.0000	0.20285	0.00000	0.79715
496.0000	0.20285	0.00000	0.79715
497.0000	0.20285	0.00000	0.79715
498.0000	0.20285	0.00000	0.79715
499.0000	0.20285	0.00000	0.79715
