##SEIR model beta=0.4000 gamma=0.2000 alpha=0.2000  produced by macroInfection[.cpp]
#time[days]	S	E	I	R
445.0000	0.2025	0.0000	0.0000	0.7975
446.0000	0.2025	0.0000	0.0000	0.7975
447.0000	0.2025	0.0000	0.0000	0.7975
448.0000	0.2025	0.0000	0.0000	0.7975
449.0000	0.2025	0.0000	0.0000	0.7975
450.0000	0.2025	0.0000	0.0000	0.7975
451.0000	0.2025	0.0000	0.0000	0.7975
452.0000	0.2025	0.0000	0.0000	0.7975
453.0000	0.2025	0.0000	0.0000	0.7975
454.0000	0.2025	0.0000	0.0000	0.7975
455.0000	0.2025	0.0000	0.0000	0.7975
456.0000	0.2025	0.0000	0.0000	0.7975
457.0000	0.2025	0.0000	0.0000	0.7975
458.0000	0.2025	0.0000	0.0000	0.7975
459.0000	0.2025	0.0000	0.0000	0.7975
460.0000	0.2025	0.0000	0.0000	0.7975
461.0000	0.2025	0.0000	0.0000	0.7975
462.0000	0.2025	0.0000	0.0000	0.7975
463.0000	0.2025	0.0000	0.0000	0.7975
464.0000	0.2025	0.0000	0.0000	0.7975
465.0000	0.2025	0.0000	0.0000	0.7975
466.0000	0.2025	0.0000	0.0000	0.7975
467.0000	0.2025	0.0000	0.0000	0.7975
468.0000	0.2025	0.0000	0.0000	0.7975
469.0000	0.2025	0.0000	0.0000	0.7975
470.0000	0.2025	0.0000	0.0000	0.7975
471.0000	0.2025	0.0000	0.0000	0.7975
472.0000	0.2025	0.0000	0.0000	0.7975
473.0000	0.2025	0.0000	0.0000	0.7975
474.0000	0.2025	0.0000	0.0000	0.7975
475.0000	0.2025	0.0000	0.0000	0.7975
476.0000	0.2025	0.0000	0.0000	0.7975
477.0000	0.2025	0.0000	0.0000	0.7975
478.0000	0.2025	0.0000	0.0000	0.7975
479.0000	0.2025	0.0000	0.0000	0.7975
480.0000	0.2025	0.0000	0.0000	0.7975
481.0000	0.2025	0.0000	0.0000	0.7975
482.0000	0.2025	0.0000	0.0000	0.7975
483.0000	0.2025	0.0000	0.0000	0.7975
484.0000	0.2025	0.0000	0.0000	0.7975
485.0000	0.2025	0.0000	0.0000	0.7975
486.0000	0.2025	0.0000	0.0000	0.7975
487.0000	0.2025	0.0000	0.0000	0.7975
488.0000	0.2025	0.0000	0.0000	0.7975
489.0000	0.2025	0.0000	0.0000	0.7975
490.0000	0.2025	0.0000	0.0000	0.7975
491.0000	0.2025	0.0000	0.0000	0.7975
492.0000	0.2025	0.0000	0.0000	0.7975
493.0000	0.2025	0.0000	0.0000	0.7975
494.0000	0.2025	0.0000	0.0000	0.7975
495.0000	0.2025	0.0000	0.0000	0.7975
496.0000	0.2025	0.0000	0.0000	0.7975
497.0000	0.2025	0.0000	0.0000	0.7975
498.0000	0.2025	0.0000	0.0000	0.7975
499.0000	0.2025	0.0000	0.0000	0.7975
