##SIR iterated, tauI=7 tauR=18 R0=1.40  produced by macroInfection[.cpp]
#time[days]	S	I	R
310.0000	0.41765	0.00000	0.58235
311.0000	0.41765	0.00000	0.58235
312.0000	0.41765	0.00000	0.58235
313.0000	0.41765	0.00000	0.58235
314.0000	0.41765	0.00000	0.58235
315.0000	0.41765	0.00000	0.58235
316.0000	0.41765	0.00000	0.58235
317.0000	0.41765	0.00000	0.58235
318.0000	0.41765	0.00000	0.58235
319.0000	0.41765	0.00000	0.58235
320.0000	0.41765	0.00000	0.58235
321.0000	0.41765	0.00000	0.58235
322.0000	0.41765	0.00000	0.58235
323.0000	0.41765	0.00000	0.58235
324.0000	0.41765	0.00000	0.58235
325.0000	0.41765	0.00000	0.58235
326.0000	0.41765	0.00000	0.58235
327.0000	0.41765	0.00000	0.58235
328.0000	0.41765	0.00000	0.58235
329.0000	0.41765	0.00000	0.58235
330.0000	0.41765	0.00000	0.58235
331.0000	0.41765	0.00000	0.58235
332.0000	0.41765	0.00000	0.58235
333.0000	0.41765	0.00000	0.58235
334.0000	0.41765	0.00000	0.58235
335.0000	0.41765	0.00000	0.58235
336.0000	0.41765	0.00000	0.58235
337.0000	0.41765	0.00000	0.58235
338.0000	0.41765	0.00000	0.58235
339.0000	0.41765	0.00000	0.58235
340.0000	0.41765	0.00000	0.58235
341.0000	0.41765	0.00000	0.58235
342.0000	0.41765	0.00000	0.58235
343.0000	0.41765	0.00000	0.58235
344.0000	0.41765	0.00000	0.58235
345.0000	0.41765	0.00000	0.58235
346.0000	0.41765	0.00000	0.58235
347.0000	0.41765	0.00000	0.58235
348.0000	0.41765	0.00000	0.58235
349.0000	0.41765	0.00000	0.58235
350.0000	0.41765	0.00000	0.58235
351.0000	0.41765	0.00000	0.58235
352.0000	0.41765	0.00000	0.58235
353.0000	0.41765	0.00000	0.58235
354.0000	0.41765	0.00000	0.58235
355.0000	0.41765	0.00000	0.58235
356.0000	0.41765	0.00000	0.58235
357.0000	0.41765	0.00000	0.58235
358.0000	0.41765	0.00000	0.58235
359.0000	0.41765	0.00000	0.58235
360.0000	0.41765	0.00000	0.58235
361.0000	0.41765	0.00000	0.58235
362.0000	0.41765	0.00000	0.58235
363.0000	0.41765	0.00000	0.58235
364.0000	0.41765	0.00000	0.58235
365.0000	0.41765	0.00000	0.58235
366.0000	0.41765	0.00000	0.58235
367.0000	0.41765	0.00000	0.58235
368.0000	0.41765	0.00000	0.58235
369.0000	0.41765	0.00000	0.58235
370.0000	0.41765	0.00000	0.58235
371.0000	0.41765	0.00000	0.58235
